排名,歌曲名,歌手,专辑
1,原谅我,姜云升 / CHOCKEY有三,原谅我
2,交通工具,刘思鉴 / 河南说唱之神,交通工具
3,邓布利多,万乐体 / 鱼骨妹,邓布利多
4,到时说爱我,茜拉,心旅
5,如果呢,郑润泽,如果呢
6,左转灯 (1000 Times +1),派伟俊 / mac ova seas,左转灯 (1000 Times +1)
7,浆果,TINY7,浆果
8,我想要占据你,告五人,带你飞
9,恋人,李荣浩,黑马
10,นับหนึ่ง (From now on),Billkin,นับหนึ่ง (From now on)
11,一点点（为什么晚上总是有星星）,芊芊龍 / 董唧唧,一点点（为什么晚上总是有星星）
12,Forget it （feat. Mac Ova Seas）,SETI / mac ova seas,nightfall EP
13,Flower Girl,余宇涵,Flower Girl
14,茉莉雨,林俊杰,新地球
15,Broken World,孙盛希,Broken World
16,爱情讯息,黄星 / 邱鼎杰,爱情讯息
17,走吧,一乐AJoyX / EvilJoker,厝
18,沦陷2025,李嘉格,沦陷2025
19,Rovert Plaen 阴天氛围,Modan,vatKEL
20,像海一样平静,鱼尾Q7,像海一样平静
21,到時說愛我,茜拉,My Journey 心旅
22,The King2（music）,Paper.MAN,The King 2（泳池派对）
23,失眠酒,程安,联美旅社
24,看着我眼睛,吴琳珂Moske,看着我眼睛
25,超人披风,GX (鼓鼓 吕思纬、萧秉治),超人披风
26,lazy x 吉他 Type Beat -- “ 秘密”,苏宝,lazy x 吉他 Type Beat -- “ 秘密”
27,midnight smoke,MRZ,RNB type beat‘midnight smoke’
28,Lost ,满舒克 / Jony J,Almost Perfect
29,拆穿,小霞,小霞
30,别怕我伤心+听见有人叫你宝贝+爱情少尉+爱如潮水 (Live),李宗盛,既然青春留不住，还是做个大叔好 演唱会巡回影音纪录
31,Love U 2,陈伟霆,WOW
32,致你,王赫野,致你
33,道寄江雪,漆柚,道寄江雪
34,下完这场雨,25,10
35,挂机（厌倦了吵架厌倦了迷人的谎话）,Lefty,挂机（厌倦了吵架厌倦了迷人的谎话）
36,Scar Face（PHONK）,KKK,Scar Face（PHONK）
37,心型圈,南拳妈妈,心型圈
38,挚友 (Live),张碧晨,一起开麦吧 第一期
39,真的爱你,Beyond,超越BEYOND精选
40,凭什么爱我,TINY7,凭什么爱我
41,乖乖 (连不上我wifi),HuiuioOo,乖乖 (连不上我wifi)
42,The King,Paper.MAN,The King
43,原来你什么都不要,孙燕姿,Start 自选集
44,妖精小姐的魔法邀约 Miss Elf's Magical Invitation,宴宁 / HOYO-MiX,崩坏3-故星铭于长空-Original Soundtrack
45,岸边客,夏子航（2603）,岸边客
46,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We
47,如果当时,许嵩,自定义
48,碎碎念,队长,碎碎念
49,intentions,Starfall,intentions
50,折断玫瑰,邱e,折断玫瑰
51,烟,藤竹京,一字歌
52,须尽欢 (思乡版),郑浩Z-Hao,须尽欢 (2025版)
53,Die For You,VALORANT / Grabbitz,Die For You
54,谁的爱不疯,Shuyuan Garden园园 / AKA小健（李健）,谁的爱不疯
55,MONTAGEM XONADA (FUNK NA FAVELA),7YE,MONTAGEM XONADA (FUNK NA FAVELA)
56,须尽欢（热搜 郑浩版）,郑浩Z-Hao,须尽欢
57,山高路远,沼沼,山高路远
58,奇妙能力歌,陈粒,十年自选
59,有没有一首歌会让你想起我,周传雄,Dubbing 情歌教父周传雄1987-2003
60,心脏的左边 / Left Side of My Heart (feat. moon tang),鶴 The Crane / moon tang,心脏的左边 / Left Side of My Heart (feat. moon tang)
61,局子街,零赫兹0HZ,局子街
62,笃定的爱,廖泽蓝,笃定的爱
63,笔记,周笔畅,终极PK
64,寻常岁月诗,柏松,听闻余生
65,Annihilation（湮灭）,啃书,Annihilation
66,出现又离开 (Live),梁博,昼夜本色 第二季
67,被神明写的歌,K.D,被神明写的歌
68,Stuck In The Middle,BABYMONSTER,Stuck In The Middle
69,Ice On My Baby (sped-up),Yung Bleu,Ice On My Baby (sped-up)
70,ICEMAN (What Did I Miss ？)ED.Sped Up,SmokeBoi,ＩＣＥ ＭＡＮ
71,纤维,林忆莲,0 (2024版)
72,Let's Go!! Rider Kick (TeddyLoid Edit),TeddyLoid,Tojima Wants to Be a Kamen Rider Vocal Song Collection Vol.1
73,聚光灯下 (In the spotlight),陈麒名,二十一世纪的脱帽礼
74,不将就,李荣浩,有理想
75,你的名字,商潮,陌生人
76,7 Years,Lukas Graham,Lukas Graham
77,为时已晚（越大越觉孤单）,管小天,为时已晚
78,Lucky Me!,Magens / 初音ミク,Lucky Me!
79,迷人的危险,Dance Flow,df 1
80,山丘,李宗盛,山丘
81,关于你（Live）,姚晓棠,关于你（Live）
82,WHERE IS MY HUSBAND!,RAYE,WHERE IS MY HUSBAND!
83,如果没有你,莫文蔚,Big Soil
84,愿你爱自己，像我爱你一样,Crispy脆乐团,愿你爱自己，像我爱你一样
85,凉城 (弹唱版),小小张同学,凉城 (弹唱版)
86,万花镜,杜宣达,万花镜
87,处处吻,杨千嬅,囍爱杨千嬅
88,忘忧谣(东汉童谣),希尔薇Sylvie / alpaca咕噜,忘忧谣
89,烂情,许钧,美梦公司
90,What About,Blaxian,What About
91,莫问归期,蒋雪儿Snow.J / 七叔-叶泽浩,莫问归期
92,湖心云,镜予歌 / 喧笑 / 不是黑籽儿,湖心云
93,渇く、憂う,トゲナシトゲアリ,渇く、憂う
94,首饰,曲英措,首饰
95,颜色,Gareth.T,颜色
96,Flat Toys (Phonk Verslon),GRABOTE / SILXNT / XloveSF / Chrie Prown,Flat Toys
97,卡拉永远OK,谭咏麟,雷霆精选
98,非理想爱人,Pandora樂隊,Ain't Stopping
99,天后,陈势安,再爱一遍‧天后陈势安
